Sr. No.,District Name,No of well analysed,0-2m No,0-2m %,2-5m No,2-5m %,5-10m No,5-10m %,10-20m No,10-20m %,20-40m No,20-40m %,>40m No,>40m %
1,Ajmer,17,0,0,8,47.1,3,17.6,1,5.9,5,29.4,0,0
2,Alwar,19,0,0,0,0,1,5.3,5,26.3,7,36.8,6,31.6
3,Anupgarh,5,0,0,0,0,2,40,3,60,0,0,0,0
4,Balotra,9,0,0,0,0,2,22.2,2,22.2,5,55.6,0,0
5,Banswara,33,1,3,14,42.4,13,39.4,5,15.2,0,0,0,0
6,Baran,14,1,7.1,6,42.9,6,42.9,1,7.1,0,0,0,0
7,Barmer,34,0,0,1,2.9,4,11.8,6,17.6,12,35.3,11,32.4
8,Beawar,11,0,0,2,18.2,4,36.4,4,36.4,1,9.1,0,0
9,Bharatpur,19,1,5.3,2,10.5,4,21.1,4,21.1,4,21.1,4,21.1
10,Bhilwara,50,0,0,15,30,10,20,19,38,5,10,1,2
11,Bikaner,40,0,0,0,0,4,10,13,32.5,12,30,11,27.5
12,Bundi,10,1,10,4,40,4,40,1,10,0,0,0,0
13,Chittorgarh,14,3,21.4,0,0,4,28.6,5,35.7,2,14.3,0,0
14,Churu,27,0,0,0,0,1,3.7,5,18.5,13,48.1,8,29.6
15,Dausa,30,0,0,0,0,1,3.3,14,46.7,5,16.7,10,33.3
16,Deeg,9,0,0,2,22.2,3,33.3,3,33.3,1,11.1,0,0
17,Dholpur,19,0,0,7,36.8,3,15.8,3,15.8,5,26.3,1,5.3
18,Didwana-Kuchaman,19,0,0,0,0,0,0,6,31.6,8,42.1,5,26.3
19,Dudu,24,1,4.2,8,33.3,10,41.7,4,16.7,1,4.2,0,0
20,Dungarpur,17,1,5.9,7,41.2,8,47.1,1,5.9,0,0,0,0
21,Ganganagar,31,0,0,2,6.5,8,25.8,13,41.9,6,19.4,2,6.5
22,Gangapurcity,12,0,0,4,33.3,2,16.7,5,41.7,0,0,1,8.3
23,Hanumangarh,31,2,6.5,0,0,1,3.2,11,35.5,14,45.2,3,9.7
24,Jaipur,13,0,0,1,7.7,1,7.7,1,7.7,2,15.4,8,61.5
25,Jaipur (Gramin),73,0,0,2,2.7,8,11,11,15.1,12,16.4,40,54.8
26,Jaisalmer,55,0,0,1,1.8,6,10.9,11,20,22,40,15,27.3
27,Jalore,6,0,0,1,16.7,1,16.7,1,16.7,1,16.7,2,33.3
28,Jhalawar,24,0,0,6,25,13,54.2,5,20.8,0,0,0,0
29,Jhunjhunu,23,0,0,0,0,0,0,0,0,2,8.7,21,91.3
30,Jodhpur,7,0,0,2,28.6,1,14.3,2,28.6,1,14.3,1,14.3
31,Jodhpur (Gramin),48,0,0,8,16.7,5,10.4,12,25,8,16.7,15,31.3
32,Karauli,27,1,3.7,2,7.4,4,14.8,7,25.9,11,40.7,2,7.4
33,Kekri,7,0,0,2,28.6,3,42.9,2,28.6,0,0,0,0
34,Khairthal-Tijara,8,0,0,0,0,0,0,0,0,5,62.5,3,37.5
35,Kota,16,3,18.8,4,25,4,25,3,18.8,2,12.5,0,0
36,Kotputli-Behror,14,0,0,0,0,0,0,0,0,4,28.6,10,71.4
37,Nagaur,20,0,0,0,0,0,0,4,20,2,10,14,70
38,Neem Ka Thana,3,0,0,0,0,1,33.3,0,0,1,33.3,1,33.3
39,Pali,18,2,11.1,7,38.9,6,33.3,3,16.7,0,0,0,0
40,Phalodi,13,0,0,1,7.7,1,7.7,1,7.7,0,0,10,76.9
41,Pratapgarh,15,3,20,4,26.7,5,33.3,3,20,0,0,0,0
42,Rajsamand,27,1,3.7,14,51.9,6,22.2,6,22.2,0,0,0,0
43,Salumbar,10,2,20,3,30,2,20,3,30,0,0,0,0
44,Sanchore,9,0,0,0,0,0,0,2,22.2,3,33.3,4,44.4
45,Sawai Madhopur,17,0,0,3,17.6,6,35.3,6,35.3,1,5.9,1,5.9
46,Shahpura,12,1,8.3,4,33.3,4,33.3,3,25,0,0,0,0
47,Sikar,41,0,0,1,2.4,0,0,1,2.4,9,22,30,73.2
48,Sirohi,13,0,0,4,30.8,5,38.5,4,30.8,0,0,0,0
49,Tonk,23,0,0,9,39.1,9,39.1,3,13,2,8.7,0,0
50,Udaipur,25,3,12,10,40,6,24,6,24,0,0,0,0
