Name of River,Area in Ha.,District
Chambal,130000,Kota
Chambal,130000,Bundi
Chambal,130000,S.Madhpur
Chambal,130000,Bharatpur
Kalisindh,40000,Kota
Parvati,40000,Kota
Parwan,20000,Kota
Alnia,5000,Kota
Talera,14000,Bundi
Ghora Pachhar,14000,Bundi
Mangli,20000,Bundi
Moj,30000,Bundi
Morel,10000,S.Madhpur
Banas,40000,S.Madhopur
Banas,40000,Tonk
Banas,40000,Bhilwara
Banganga,10000,Jaipur
Mahi,700,Banswara
Mahi,700,Dungarpur
Sahibi,10000,Alwar
Gambhire,10000,S.Madhpur
Sanwan,10000,Jaipur
Parwati(Bharatpur),15000,Bharatpur
Saraswati,3000,Ajmer
Panchan Nadi,30000,S.Madhopur
